Restaurant,Adresse,PLZ,Ort,Kanton,Telefon,Website
Äss-Bar,Stadelhoferstrasse 8,8001,Zürich,ZH,044 592 73 13,www.aess-bar.ch
Atelier,Talacker 16,8001,Zürich,ZH,044 210 08 03,www.mbm-management.ch
Aubrey,Schiffbaustrasse 10,8005,Zürich,ZH,044 440 00 20,www.aubrey.ch
Auer & Co,Sihlquai 131,8005,Zürich,ZH,044 273 58 79,www.auer.coffee
Aurora,Bahnhofstrasse 61,8001,Zürich,ZH,044 210 03 18,www.aurora-restaurant.ch
Avaloq (ZFV),Allmendstrasse 140,8041,Zürich,ZH,,www.zfv.ch/de/essen-gehen/avaloq
avec kitchen,Freistrasse 14,8032,Zürich,ZH,,
Aviolino,Zuschauerterrasse B,8060,Zürich-Flughafen,ZH,043 816 60 11,www.autogrill.ch
Awania,Ueberlandstrasse 327,8051,Zürich,ZH,044 320 09 09,www.awaniapizzaburger.ch
Aya,Heinrichstrasse 269,8005,Zürich,ZH,41442718008,
Ayverdis,Bahnhofplatz 2,8001,Zürich,ZH,,www.ayverdis.ch
Ayverdi's,Badenerstrasse 415,8003,Zürich,ZH,043 544 99 50,
Ayverdi's,Genossenschaftsstrasse 18,8050,Zürich,ZH,043 544 99 50,
Ayverdi's,Wehntalerstrasse 289,8046,Zürich,ZH,043 544 99 50,
AZ Limmat,Limmatstrasse 186,8005,Zürich,ZH,,
AZZURRO,Weinbergstrasse 95,8006,Zürich,ZH,044 251 35 55,www.azzurro.ch
Azzurro,Hohlstrasse 451,8048,Zürich,ZH,044 492 48 08,www.ristoranteazzurro.ch
Baba Food Station,Langstrasse 193,8005,Zürich,ZH,044 304 69 05,
baba's döner,Nansenstrasse 4,8050,Zürich,ZH,079 192 03 28,www.babasdoener.ch
baba's döner,Langstrasse 238,8005,Zürich,ZH,,https://www.babasdoener.ch
Babel,The Circle 41,8058,Zürich,ZH,044 592 42 01,https://www.hyattrestaurants.com/
Babu's,Löwenstrasse 1,8001,Zürich,ZH,044 212 87 37,
Babu's Bakery,Zentralstrasse 127,8003,Zürich,ZH,044 307 10 11,
Babu's Bakery & Coffeehouse,Theaterstrasse 3,8001,Zürich,ZH,,
Babu's Counter,Grubenstrasse 8,8045,Zürich,ZH,,www.babus.ch
Bachmann,Bahnhofstrasse 89,8001,Zürich,ZH,044 221 97 80,www.confiserie.ch
Bachmann,Stadelhoferstrasse 8,8001,Zürich,ZH,,www.confiserie.ch
Bachmann,Kalanderplatz 4,8045,Zürich,ZH,043 817 62 47,www.confiserie.ch
Bachmann,The Circle 22,8058,Zürich,ZH,,www.confiserie.ch
Bachmann,Bleicherweg 19,8002,Zürich,ZH,,www.confiserie.ch
BACKbAR,Seefeldstrasse 169,8008,Zürich,ZH,41444224717,www.backbar.ch
Bäckeranlage,Hohlstrasse 67,8004,Zürich,ZH,043 243 87 43,
Bäckerei Pfyl,Albulastrasse 58,8048,Zürich,ZH,044 761 61 36B,www.baeckerei-pfyl.ch
BackWerk,Sihlquai Unterführung,8005,Zürich,ZH,041 289 64 64,www.back-werk.ch
Badi Bistro Auhof,Luegislandstrasse 160,8051,Zürich,ZH,044 413 57 40,
Badi Wollishofen,Seestrasse 451,8038,Zürich,ZH,044 480 02 02,
Bagelboys,Dialogweg 11,8050,Zürich,ZH,41443102080,www.bagelboys.ch
Bahnhof,Seebahnstrasse 33,8003,Zürich,ZH,044 462 64 24,www.restaurant-bahnhofwiedikon.ch
Bahnhof Kebap,Ohmstrasse 18,8050,Zürich,ZH,043 333 54 14,
Bakery Bakery,Hotzestrasse 65,8006,Zürich,ZH,044 350 38 23,https://www.bakerybakery.ch/
Bakery Bakery,"Museumstrasse 1, Passage Gessnerallee / Halle Löwenstrasse",8001,Zürich,ZH,076 481 81 46,https://www.bakerybakery.ch/
Bakery Bakery,Hardstrasse 305,8005,Zürich,ZH,079 504 34 56,https://www.bakerybakery.ch/
Bakeside,Gate E,8060,Zürich-Flughafen,ZH,043 816 85 98,
Bamboo,Culmannstrasse 19,8006,Zürich,ZH,044 261 33 70,www.bamboo-inn.ch
Ban Song Thai,Kirchgasse 6,8001,Zürich,ZH,044 252 33 31,www.bansongthai.ch
Bang-on,Kasernenstrasse 15,8004,Zürich,ZH,043 243 80 11,www.bang-on.ch
Banh Mi,Limmatstrasse 259,8005,Zürich,ZH,,www.limmatladen.ch
Banhmi Bao,Tramstrasse 15,8050,Zürich,ZH,077 521 08 18,
Bank,Molkenstrasse 15,8004,Zürich,ZH,044 211 80 04,www.bankzuerich.ch
Bar & Lounge 42,Neumühlequai 42,8006,Zürich,ZH,044 360 73 24,www.barandlounge42.ch
Bar 45,Bahnhofstrasse 45,8001,Zürich,ZH,,
Bar Poseidon,Löwenstrasse 11,8001,Zürich,ZH,,
Baracca,Kanzleistrasse 103,8004,Zürich,ZH,41438118004,
Baradox,Sihlstrasse 72,8001,Zürich,ZH,044 221 06 26,www.baradox.ch
Barcelona Restauarnt,Hofwiesenstrasse 188,8057,Zürich,ZH,044 364 45 77,www.barcelonarestaurant.ch
Bärengasse,Bahnhofstrasse 25,8001,Zürich,ZH,044 210 08 08,www.mbm-management.ch
Barfly'z,Gotthardstrasse 21,8002,Zürich,ZH,044 202 00 11,www.barflyz.ch
Barfussbar,Stadthausquai 12,8001,Zürich,ZH,044 251 33 31,www.barfussbar.ch
Barfüsser Sushi Bar & Lounge,Spitalgasse 3,8001,Zürich,ZH,044 251 40 64,www.barfuesser.ch
Barranco,Sihlfeldstrasse 141,8004,Zürich,ZH,041 558 58 33,www.barranco.ch
Baryton,Schweizergasse 8,8001,Zürich,ZH,043 344 80 30,
Basso,Sihlstrasse 59,8001,Zürich,ZH,043 497 25 28,www.barbasso.ch
Bauer,Badenerstrasse 355,8003,Zürich,ZH,044 492 04 08,www.cafe-bauer.ch
Bauernschänke,Rindermarkt 24,8001,Zürich,ZH,044 262 41 30,
Bauschänzli,Stadthausquai 2,8001,Zürich,ZH,044 212 49 19,
be/at Restaurant,Hagenholzstrasse 56,8050,Zürich,ZH,044 300 13 14,
Bean Bank Coffee & Co.,Lagerstrasse 18c,8004,Zürich,ZH,,www.beanbank.coffee
Bebek,Badenerstrasse 171,8003,Zürich,ZH,41442971100,www.bebek.ch
Bebo's Beef&Chicken,Hardstrasse 310,8005,Zürich,ZH,044 734 33 33,
Beck Oberstrass,Universitätstrasse 9,8006,Zürich,ZH,044 807 57 48,
Beck Werd- Laden zum Walter,Birmensdorferstrasse 21,8004,Zürich,ZH,,www.buchmannbeck.ch
Bederhof,Brandschenkestrasse 177,8002,Zürich,ZH,41442851500,www.bederhof.ch
Beetnut,Lagerstrasse 16b,8004,Zürich,ZH,044 281 94 86,
Bei Moudi am Kunsthaus,Heimplatz 1,8001,Zürich,ZH,044 251 53 53,
Beke,Bertrastrasse 16,8003,Zürich,ZH,079 474 20 73,
Belcafé,Bellevueplatz 1,8001,Zürich,ZH,044 251 98 00,www.belcafe.ch
Bella Imbiss,Gloriastrasse 15b,8006,Zürich,ZH,043 343 97 35,
Bella Napoli,Birmensdorferstrasse 249,8055,Zürich,ZH,044 450 77 77,https://www.pizzeria-bellanapoli.ch/
Bellavista (ZFV),Hönggerbergring 47,8093,Zürich ETH-Hönggerberg,ZH,044 633 01 91,www.bellavista-ethz.ch
Bellevue,Gate A,8060,Zürich-Flughafen,ZH,,
Bellevue,Dock B110,8060,Zürich-Flughafen,ZH,,
Belmondo,Röschibachstrasse 75,8037,Zürich,ZH,043 205 21 43,www.belmondo.bar
Berg 8044,Tobelhofstrasse 21,8044,Zürich,ZH,044 552 75 55,www.berg8044.ch
Bernerhof,Zeughausstrasse 1,8004,Zürich,ZH,41433171727,www.bernerhof-zuerich.ch
Betty Bossi Zopf & Zöpfli Hauptbahnhof,Halle Landesmuesum,8001,Zürich,ZH,044 213 28 60,www.zopfundzoepfli.ch
Bianchi,Limmatquai 82,8001,Zürich,ZH,044 262 98 44,www.bianchi-zuerich.ch
Bibim,Hardstrasse 322,8005,Zürich,ZH,044 271 54 82,www.bibimshack.com
Biergarten Zürich,Hohlstrasse 25,8004,Zürich,ZH,,www.biergarten-zuerich.ch
Bierhalle Wolf,Limmatquai 132,8001,Zürich,ZH,044 251 01 30,www.bierhalle-wolf.ch
Bierwerk Züri,Gustav-Gull-Platz 10,8004,Zürich,ZH,044 230 23 11,https://www.bierwerkzueri.ch/
Bierwerk Zürich,Hohlstrasse 418,8048,Zürich,ZH,,
Big Babas,Altstetterstrasse 147,8048,Zürich,ZH,044 304 43 48,www.bigbabas.com
Big Ben Bub,Niederdorfstrasse 66,8001,Zürich,ZH,043 311 89 99,www.holenstein-gastro.ch
Big Ben Pub West Side,Hardstrasse 234,8005,Zürich,ZH,41442710266,
Big Burger Zürich,Langstrasse 211,8005,Zürich,ZH,043 321 30 69,www.bigburger.ch
Billard Golden 8,Baumackerstrasse 41,8050,Zürich,ZH,043 333 57 88,www.bg8.ch
Bill's Burger,Hardturmstrasse 161,8005,Zürich,ZH,043 444 68 10,www.billsburger.ch
Bilo Bistro,Ankerstrasse 116,8004,Zürich,ZH,044 241 16 15,
BimBi's Take Away,Stampfenbachstrasse 85,8006,Zürich,ZH,,www.bim-bi.ch
Bindella,In Gassen 6,8001,Zürich,ZH,044 221 25 46,www.bindella.ch/de/bindella-zuerich.html
Binz & Kunz,Räffelstrasse 17,8045,Zürich,ZH,,binzundkunz.ch
Binz 49 (ZFV),Grubenstrasse 49,8045,Zürich,ZH,043 284 66 43,www.zfv.ch
Binz Garten,Affolternstrasse 10,8050,Zürich,ZH,41442214444,www.binzgarten.ch
bio local (nur Take-Away),"Airport Shopping, Ebene 0",8060,Zürich-Flughafen,ZH,043 816 20 90,www.biolocal-flughafen.ch
Birchegg,Wehntalerstr. 119,8057,Zürich,ZH,044 361 05 22,www.birchegg.ch
Bistro 19,Grünhaldenstrasse 19,8050,Zürich,ZH,043 336 00 26,www.gruenhalde.ch
Bistro Albisrieden,Albisriederstrasse 358,8047,Zürich,ZH,043 311 60 45,www.bistro-albisrieden.ch
Bistro Bullinger Fachschule Viventa,Bullingerstrasse 50,8004,Zürich,ZH,,
Bistro Fachschule Viventa,Schwamendingenstrasse 39,8050,Zürich,ZH,,
Bistro FZAG,The Circle 16,8058,Zürich-Flughafen,ZH,058 432 45 00,
Bistro Park Stadelhofen,Stadelhofer-Platz,8001,Zürich,ZH,044 250 59 25,www.commercio.ch/en/bistro-park-stadelhofen
Bistro Riffraff,Neugasse 63,8005,Zürich,ZH,044 272 80 10,www.bistroriffraff.ch
Bistro Sihlhof (ZFV),Lagerstrasse 5,8004,Zürich,ZH,,
Bistro ufem Chilehügel,Pfarrhausstrasse 21,8048,Zürich,ZH,043 343 03 58,www.chilehuegel.ch
Bistro V.P.,Ankerstrasse 16,8004,Zürich,ZH,043 243 80 46,www.vp-catering.ch
